name,gender,attendance_rate,avg_grade,absences_last_month,distance_km,num_siblings,fee_arrears,dropped_out
Quinter Auma,F,90.7,47.3,11,4.8,7,5577,0
Kezia Auma,F,85.2,57.5,13,4.2,1,450,0
Grace Auma,F,100.0,63.0,4,0.3,7,2203,0
Zainab Njoroge,M,83.8,43.4,5,5.0,4,113,0
Francis Odhiambo,F,69.6,65.6,7,7.3,2,252,0
Wanjiku Moraa,F,83.9,49.5,10,25.6,6,3347,0
James Koech,F,91.6,57.7,0,0.1,5,3506,0
Yvonne Simiyu,F,87.3,67.8,13,6.5,6,1253,0
Irene Odhiambo,F,82.6,58.1,1,4.2,5,729,0
Irene Simiyu,F,91.0,50.1,8,2.8,1,5041,0
Zainab Otieno,F,92.5,56.0,2,0.7,3,734,0
Cynthia Osei,M,95.7,56.4,5,2.6,5,2343,0
Usha Nyambura,M,84.7,51.3,4,2.2,3,10346,0
Brian Otieno,F,72.5,53.3,10,1.8,6,480,0
Oliver Adhiambo,M,77.2,86.8,1,6.6,5,8484,0
Francis Simiyu,M,93.1,68.1,13,6.0,1,606,0
Usha Osei,F,62.7,52.7,14,4.4,0,2514,0
Thomas Wekesa,M,80.5,70.5,6,14.0,1,1420,0
Amina Juma,F,69.1,52.0,3,2.2,1,10051,0
Vincent Kamau,F,75.4,79.1,0,1.4,0,959,0
Oliver Chebet,F,94.2,64.7,12,5.3,0,1531,0
Sharon Koech,F,77.9,56.1,3,1.1,2,12199,1
Dennis Mutua,F,75.7,66.1,5,1.9,5,2307,0
Francis Nyambura,M,54.6,29.7,6,1.3,6,2095,1
Irene Muthoni,F,86.2,37.7,14,0.4,2,894,0
Thomas Kamau,M,84.7,36.5,6,8.8,0,3626,0
Francis Auma,F,100.0,60.6,13,1.5,3,43,0
Boniface Kibet,F,70.4,89.2,6,3.2,6,152,0
Sharon Achieng,F,78.3,98.2,2,0.2,3,2744,0
Aisha Juma,M,78.7,69.5,5,6.0,1,1254,0
Xavier Kariuki,F,98.7,67.0,12,2.0,4,9193,0
Naomi Adhiambo,F,73.6,25.6,7,6.8,1,7005,1
Caroline Simiyu,F,79.2,48.2,3,2.7,1,3752,0
Kezia Rotich,F,84.1,43.8,12,1.1,4,5114,0
Sharon Wekesa,M,77.8,46.8,7,3.6,5,3302,0
Usha Wekesa,F,68.3,55.0,1,0.7,0,403,0
Xavier Simiyu,M,77.9,49.5,14,2.9,3,4351,0
Boniface Chebet,F,91.1,22.4,9,1.9,1,708,1
Xavier Auma,M,59.6,71.5,8,12.1,4,1172,0
Linet Waweru,M,77.0,38.7,8,0.3,2,5132,0
James Owino,F,64.5,62.3,7,5.9,1,2307,0
David Rotich,F,92.9,95.3,9,1.0,3,5897,0
Moses Waweru,M,52.2,41.5,13,1.9,0,719,1
James Otieno,F,66.6,12.5,12,2.7,1,2808,1
Oliver Kamau,F,80.7,52.9,9,11.9,1,263,0
Yvonne Owino,F,98.5,77.8,0,1.4,5,3091,0
Francis Njoroge,M,74.0,93.3,1,0.5,7,4313,0
Cynthia Auma,F,66.7,35.9,5,1.9,4,2638,0
Vincent Osei,F,100.0,66.9,9,0.6,2,929,0
Caroline Njenga,F,53.3,49.6,4,0.7,2,96,1
Grace Otieno,M,42.0,56.1,11,4.3,6,382,1
Wanjiku Waweru,F,81.6,100.0,13,0.3,0,2921,0
Irene Muthoni,M,67.5,30.9,8,0.2,6,8173,1
Sharon Mutua,F,59.7,62.6,4,6.3,3,694,0
Hassan Kariuki,M,85.6,66.4,1,2.2,0,3984,0
Robert Wekesa,F,78.7,77.5,9,0.7,1,6040,0
Xavier Mutua,F,66.5,59.8,3,1.5,7,2207,0
Zainab Odhiambo,M,55.8,63.5,8,5.1,1,3319,0
James Kariuki,M,88.1,51.0,0,1.6,2,5062,0
Naomi Owino,M,84.8,62.8,10,3.4,3,906,0
Irene Wekesa,F,73.5,51.8,0,0.6,4,1057,0
Dennis Muthoni,F,100.0,69.2,11,4.4,3,2,0
Wanjiku Odhiambo,F,58.9,51.3,6,1.9,1,9898,0
Sharon Nyambura,F,52.1,64.8,10,4.9,4,7487,1
Zainab Odhiambo,M,64.6,57.5,2,8.3,3,4339,0
Xavier Kamau,F,74.3,78.3,9,4.7,7,247,0
Yvonne Kibet,F,78.7,57.1,1,1.8,7,1780,0
Purity Simiyu,F,71.4,26.1,8,1.5,3,322,1
Hassan Kariuki,F,80.3,80.7,2,2.0,4,48,0
Francis Achieng,F,56.2,41.7,1,0.9,1,2873,0
David Koech,F,96.7,46.2,11,1.0,3,9719,0
Esther Owino,F,73.8,47.3,7,7.8,4,6995,0
Thomas Odhiambo,M,91.8,82.7,9,2.4,5,3580,0
Aisha Mutua,F,80.1,19.6,5,2.9,7,305,1
Yvonne Mutua,F,81.9,100.0,5,4.5,5,961,0
Naomi Simiyu,F,83.5,77.0,9,4.5,1,1157,0
Kezia Simiyu,F,81.7,62.0,10,0.3,4,4321,0
Zainab Moraa,M,84.6,57.0,6,8.9,5,4862,0
Boniface Adhiambo,M,94.9,63.1,6,1.0,4,1459,0
Caroline Achieng,M,77.9,67.4,10,6.4,3,1623,0
James Waweru,M,85.6,69.6,12,7.4,1,137,0
Quinter Chebet,M,73.7,68.0,14,6.3,5,1024,0
Xavier Auma,M,96.6,59.6,5,4.3,6,1801,0
Kezia Njenga,F,64.9,54.4,3,0.1,3,373,0
Amina Odhiambo,M,100.0,55.3,10,2.2,7,1811,0
Boniface Mwangi,M,74.4,54.5,8,4.6,6,5756,0
Irene Otieno,F,53.5,78.4,5,2.5,6,2612,1
Vincent Kibet,M,76.9,68.7,3,10.0,0,247,0
Naomi Mutua,F,64.8,5.1,11,1.8,0,638,1
Brian Adhiambo,F,87.6,69.8,2,1.7,1,1930,0
Naomi Njenga,M,65.2,61.5,3,1.5,5,1346,0
Grace Waweru,F,68.3,57.7,2,2.0,5,1333,0
Robert Adhiambo,M,46.7,51.0,14,4.1,5,2260,1
Aisha Muthoni,M,68.2,78.2,1,6.1,4,2634,0
Francis Odhiambo,F,38.6,75.1,13,5.4,3,4782,1
Oliver Osei,F,51.2,44.1,4,8.2,5,1251,1
Xavier Waweru,M,86.4,65.3,1,10.9,3,4911,0
Caroline Osei,F,86.8,40.5,5,8.5,1,1240,0
Kezia Auma,F,81.4,33.2,2,0.1,6,171,1
Naomi Moraa,M,60.5,46.7,5,6.7,5,2424,0
Kezia Mwangi,M,74.3,73.5,14,1.2,1,2659,0
Aisha Owino,F,74.9,75.2,10,0.7,5,8179,0
David Adhiambo,M,57.6,67.2,9,5.1,0,3885,0
Oliver Njenga,M,97.6,71.1,8,1.9,2,7495,0
Usha Simiyu,M,88.2,67.3,0,0.3,1,7169,0
Irene Koech,M,71.7,46.5,5,0.7,5,2783,0
Kezia Kariuki,M,75.4,65.8,8,0.0,7,2251,0
Amina Moraa,M,78.1,72.4,10,11.7,2,2446,0
Francis Simiyu,M,44.4,71.6,3,0.1,1,11496,1
Vincent Adhiambo,F,71.3,79.4,10,1.2,7,4451,0
Vincent Muthoni,M,64.8,70.7,11,2.7,7,337,0
Oliver Auma,F,60.0,64.3,1,2.2,4,4521,0
Thomas Chebet,F,70.8,77.3,12,12.1,7,561,0
Oliver Muthoni,F,100.0,57.5,3,0.2,5,1779,0
Zainab Waweru,M,84.6,42.1,0,3.6,4,709,0
Brian Odhiambo,M,66.4,55.1,2,5.7,0,3510,0
James Njenga,F,83.6,44.6,9,13.4,5,6294,0
